CUST_NUM,MTH,AMT_KM
1,202308,10.00000
4,202308,10.00000
5,202308,10.00000
6,202308,3.00000
7,202308,10.00000
8,202308,2.00000
8,202308,3.00000
10,202308,12.00000
12,202308,2.00000
12,202308,4.00000
12,202308,5.00000
18329,202308,10.00000
14,202308,20.00000
15,202308,10.00000
16,202308,10.00000
17,202308,5.00000
18,202308,10.00000
19,202308,2.00000
19,202308,14.00000
19,202308,15.00000
20,202308,2.00000
20,202308,2.90000
20,202308,3.00000
21,202308,10.00000
22,202308,5.00000
22,202308,10.00000
23,202308,10.00000
18331,202308,10.00000
18332,202308,3.00000
24,202308,10.00000
25,202308,2.00000
26,202308,3.00000
27,202308,2.00000
27,202308,5.00000
27,202308,10.00000
28,202308,5.00000
29,202308,2.00000
18333,202308,2.00000
18333,202308,5.00000
30,202308,4.00000
30,202308,5.00000
31,202308,5.00000
32,202308,2.00000
33,202308,5.00000
34,202308,5.00000
35,202308,10.00000
36,202308,2.00000
36,202308,3.00000
36,202308,3.50000
36,202308,5.00000
36,202308,6.00000
37,202308,7.00000
38,202308,5.00000
38,202308,9.20000
38,202308,10.00000
39,202308,3.00000
41,202308,2.00000
43,202308,5.00000
43,202308,10.00000
45,202308,5.00000
45,202308,10.00000
46,202308,20.00000
47,202308,2.00000
47,202308,3.00000
47,202308,5.00000
48,202308,2.00000
48,202308,5.00000
18337,202308,10.00000
49,202308,5.00000
50,202308,15.00000
18338,202308,2.00000
18338,202308,3.00000
51,202308,5.00000
52,202308,20.00000
53,202308,2.00000
53,202308,3.00000
53,202308,4.00000
54,202308,2.00000
54,202308,3.00000
55,202308,10.00000
56,202308,2.00000
56,202308,3.00000
56,202308,5.00000
57,202308,5.00000
57,202308,10.00000
18342,202308,5.00000
58,202308,2.00000
58,202308,3.00000
58,202308,5.00000
59,202308,10.00000
60,202308,5.00000
61,202308,10.00000
61,202308,50.00000
62,202308,2.00000
62,202308,3.00000
62,202308,4.00000
62,202308,5.00000
63,202308,3.00000
18345,202308,2.00000
18345,202308,3.00000
18345,202308,5.00000
65,202308,20.00000
66,202308,10.00000
66,202308,20.00000
18346,202308,2.00000
18346,202308,5.00000
18346,202308,10.00000
67,202308,3.00000
67,202308,5.00000
68,202308,10.00000
18347,202308,3.00000
69,202308,5.00000
70,202308,5.00000
71,202308,2.00000
71,202308,3.00000
71,202308,5.00000
75,202308,5.00000
76,202308,2.00000
76,202308,3.00000
76,202308,5.00000
18351,202308,2.00000
18351,202308,3.00000
77,202308,2.00000
77,202308,3.00000
78,202308,13.00000
18352,202308,2.00000
79,202308,2.00000
79,202308,10.00000
80,202308,2.00000
80,202308,3.00000
80,202308,5.00000
81,202308,10.00000
83,202308,10.00000
84,202308,5.00000
85,202308,5.00000
85,202308,10.00000
85,202308,12.00000
85,202308,14.00000
86,202308,10.00000
87,202308,2.00000
88,202308,2.00000
88,202308,3.00000
88,202308,5.00000
89,202308,5.00000
89,202308,10.00000
18358,202308,2.00000
90,202308,2.00000
90,202308,3.00000
90,202308,4.00000
90,202308,5.00000
90,202308,8.00000
18359,202308,2.00000
91,202308,10.00000
92,202308,25.00000
93,202308,2.00000
93,202308,3.00000
93,202308,5.00000
94,202308,5.00000
95,202308,3.00000
95,202308,5.00000
18360,202308,10.00000
97,202308,5.00000
97,202308,10.00000
98,202308,10.00000
99,202308,3.00000
99,202308,4.00000
99,202308,21.00000
99,202308,30.00000
100,202308,5.00000
101,202308,2.00000
102,202308,10.00000
18362,202308,2.00000
103,202308,2.00000
103,202308,3.00000
103,202308,4.00000
103,202308,5.00000
104,202308,5.00000
106,202308,3.00000
18364,202308,4.10000
107,202308,3.00000
18366,202308,5.00000
18367,202308,10.00000
109,202308,5.00000
18368,202308,2.00000
18368,202308,3.00000
110,202308,13.00000
18369,202308,5.00000
111,202308,3.00000
111,202308,5.00000
112,202308,4.00000
112,202308,5.00000
18370,202308,10.00000
114,202308,10.00000
115,202308,5.00000
116,202308,3.00000
116,202308,5.00000
117,202308,5.00000
18371,202308,2.00000
119,202308,5.00000
120,202308,10.00000
121,202308,50.00000
18373,202308,8.00000
18373,202308,10.00000
18373,202308,20.00000
122,202308,3.00000
123,202308,2.00000
123,202308,3.00000
123,202308,4.00000
124,202308,5.00000
124,202308,10.00000
18374,202308,2.00000
18375,202308,10.00000
126,202308,13.00000
127,202308,5.00000
128,202308,3.00000
129,202308,5.00000
131,202308,10.00000
18384,202308,2.00000
132,202308,10.00000
133,202308,10.00000
133,202308,30.00000
134,202308,10.00000
135,202308,5.00000
135,202308,10.00000
18388,202308,3.00000
136,202308,8.50000
136,202308,10.00000
137,202308,3.00000
137,202308,4.00000
137,202308,5.00000
138,202308,10.00000
138,202308,20.00000
18393,202308,5.00000
139,202308,10.00000
141,202308,2.00000
141,202308,5.00000
142,202308,5.00000
145,202308,5.00000
147,202308,3.00000
147,202308,5.00000
148,202308,3.00000
149,202308,2.00000
149,202308,4.00000
149,202308,6.30000
149,202308,10.00000
149,202308,13.00000
150,202308,2.00000
18397,202308,5.00000
18397,202308,10.00000
151,202308,10.00000
152,202308,2.00000
152,202308,5.00000
153,202308,5.00000
154,202308,10.00000
155,202308,5.00000
156,202308,5.00000
157,202308,12.00000
158,202308,30.00000
159,202308,2.00000
159,202308,3.00000
159,202308,5.00000
18401,202308,10.00000
18401,202308,20.00000
160,202308,2.00000
160,202308,3.00000
162,202308,5.00000
162,202308,10.00000
163,202308,5.00000
164,202308,4.00000
164,202308,5.00000
165,202308,4.00000
166,202308,2.00000
166,202308,5.00000
167,202308,10.00000
168,202308,5.00000
169,202308,2.00000
169,202308,3.00000
169,202308,5.00000
170,202308,5.00000
171,202308,5.00000
173,202308,5.00000
174,202308,3.00000
174,202308,5.00000
176,202308,10.00000
177,202308,5.00000
18406,202308,5.00000
181,202308,2.00000
181,202308,5.00000
181,202308,10.00000
18411,202308,5.00000
182,202308,3.00000
182,202308,5.00000
18412,202308,6.00000
18413,202308,5.00000
18414,202308,5.00000
18415,202308,2.00000
18415,202308,4.00000
18415,202308,5.00000
183,202308,10.00000
18417,202308,3.00000
184,202308,10.00000
185,202308,3.00000
18419,202308,10.00000
18420,202308,3.00000
187,202308,10.00000
188,202308,10.00000
189,202308,2.00000
189,202308,3.00000
189,202308,5.00000
18422,202308,5.00000
190,202308,3.00000
190,202308,4.00000
191,202308,5.00000
192,202308,2.00000
192,202308,3.00000
192,202308,4.00000
193,202308,5.00000
193,202308,12.00000
18424,202308,2.00000
194,202308,5.00000
194,202308,10.00000
195,202308,5.00000
195,202308,15.00000
196,202308,2.00000
196,202308,18.00000
18426,202308,2.00000
18426,202308,5.00000
197,202308,6.00000
198,202308,3.00000
198,202308,4.00000
198,202308,5.00000
199,202308,10.00000
200,202308,2.00000
200,202308,3.00000
201,202308,5.00000
201,202308,8.80000
201,202308,10.00000
202,202308,2.00000
203,202308,3.00000
203,202308,10.00000
203,202308,20.00000
204,202308,5.00000
205,202308,3.00000
205,202308,5.00000
205,202308,6.00000
206,202308,3.00000
206,202308,5.00000
208,202308,2.00000
208,202308,3.00000
208,202308,4.00000
210,202308,10.00000
211,202308,2.00000
211,202308,5.00000
212,202308,3.00000
212,202308,4.00000
212,202308,5.00000
212,202308,10.00000
213,202308,3.00000
213,202308,4.00000
213,202308,5.00000
214,202308,10.00000
18431,202308,3.00000
215,202308,2.00000
215,202308,3.00000
215,202308,5.00000
215,202308,10.00000
18433,202308,5.00000
18433,202308,10.00000
217,202308,3.00000
217,202308,5.00000
218,202308,20.00000
219,202308,2.00000
219,202308,3.00000
219,202308,4.00000
220,202308,2.00000
222,202308,5.00000
222,202308,10.00000
223,202308,3.00000
223,202308,5.00000
224,202308,2.00000
224,202308,2.40000
224,202308,5.00000
225,202308,2.00000
225,202308,5.00000
225,202308,10.00000
226,202308,5.00000
227,202308,3.00000
228,202308,8.00000
228,202308,10.00000
229,202308,5.00000
229,202308,20.00000
18438,202308,2.00000
230,202308,7.00000
18439,202308,10.00000
231,202308,2.00000
231,202308,2.50000
231,202308,3.00000
232,202308,5.00000
232,202308,7.00000
232,202308,7.20000
232,202308,8.00000
232,202308,10.00000
234,202308,3.00000
235,202308,2.00000
235,202308,3.00000
235,202308,5.00000
236,202308,2.00000
236,202308,3.00000
238,202308,7.00000
240,202308,5.00000
241,202308,5.00000
18444,202308,2.00000
18444,202308,5.00000
242,202308,5.00000
243,202308,2.00000
243,202308,3.00000
244,202308,5.00000
245,202308,2.00000
245,202308,3.00000
18446,202308,4.00000
18446,202308,5.00000
247,202308,5.00000
247,202308,10.00000
248,202308,20.00000
248,202308,30.00000
250,202308,2.00000
250,202308,3.00000
250,202308,4.00000
253,202308,3.00000
253,202308,4.00000
254,202308,2.00000
254,202308,3.00000
254,202308,5.00000
256,202308,3.00000
257,202308,4.00000
257,202308,5.00000
258,202308,5.00000
18453,202308,2.00000
18453,202308,3.00000
18453,202308,5.00000
259,202308,2.00000
259,202308,3.00000
259,202308,5.00000
262,202308,10.00000
263,202308,10.00000
263,202308,12.20000
264,202308,5.60000
265,202308,3.00000
266,202308,2.00000
266,202308,3.00000
266,202308,4.00000
267,202308,5.00000
268,202308,5.00000
270,202308,5.00000
271,202308,5.00000
272,202308,2.00000
272,202308,4.00000
274,202308,2.00000
274,202308,5.00000
274,202308,10.00000
18458,202308,5.00000
275,202308,3.00000
18460,202308,3.00000
18460,202308,5.00000
18460,202308,10.00000
277,202308,5.00000
277,202308,10.00000
279,202308,8.00000
279,202308,20.00000
18463,202308,10.00000
280,202308,10.00000
281,202308,5.00000
18466,202308,10.00000
282,202308,10.00000
282,202308,20.00000
282,202308,30.00000
18467,202308,3.00000
18467,202308,5.00000
285,202308,2.00000
285,202308,3.00000
285,202308,4.00000
285,202308,5.00000
285,202308,10.00000
18468,202308,5.00000
18468,202308,10.00000
286,202308,5.00000
287,202308,6.00000
18470,202308,2.00000
18471,202308,6.00000
289,202308,10.00000
290,202308,10.00000
292,202308,5.00000
296,202308,2.00000
296,202308,3.00000
297,202308,3.00000
297,202308,5.00000
18475,202308,10.00000
18476,202308,10.00000
18477,202308,3.50000
18477,202308,3.80000
18477,202308,4.00000
18477,202308,5.00000
298,202308,5.00000
300,202308,2.00000
300,202308,10.00000
301,202308,2.00000
302,202308,2.00000
302,202308,3.00000
302,202308,10.00000
18479,202308,2.00000
18479,202308,5.00000
18479,202308,10.00000
305,202308,2.00000
306,202308,2.00000
306,202308,3.00000
306,202308,4.00000
306,202308,5.00000
18484,202308,12.00000
18485,202308,5.00000
308,202308,2.00000
308,202308,4.00000
309,202308,2.00000
309,202308,3.00000
309,202308,5.00000
310,202308,10.00000
311,202308,3.00000
18487,202308,2.00000
18487,202308,3.00000
312,202308,3.00000
312,202308,5.00000
313,202308,5.00000
18488,202308,20.00000
316,202308,2.00000
316,202308,5.00000
317,202308,5.00000
318,202308,47.00000
318,202308,50.00000
319,202308,11.00000
319,202308,20.00000
320,202308,3.00000
320,202308,5.00000
321,202308,10.00000
322,202308,20.00000
18489,202308,5.00000
323,202308,2.00000
323,202308,3.00000
323,202308,4.00000
323,202308,9.00000
325,202308,3.00000
325,202308,5.00000
325,202308,10.00000
326,202308,5.00000
