CUST_NUM,MUNICIPALITY,MUNICIPALITY_LAT,MUNICIPALITY_LONG
1,Sarajevo,43.8976,18.4164
10,Novo Sarajevo,43.8619,18.3903
100,Derventa,44.9518,17.9338
1000,Banjaluka,44.7758,17.1856
10000,Banjaluka,44.7758,17.1856
10001,Foča,43.4544,18.7520
10003,,,
10004,Prijedor,44.9631,16.7597
10005,Brčko Distrikt,44.8235,18.8817
10007,Derventa,44.9518,17.9338
10008,Milići,44.1500,19.0833
10009,Bijeljina,44.7718,19.1162
1001,Kozarska Dubica,45.1734,16.8063
10010,Drvar,44.4080,16.3681
10012,Gradiška,45.0325,17.1527
10013,Prijedor,44.9631,16.7597
10015,Sokolac,43.9959,18.7346
10019,Šipovo,44.1669,17.1231
1002,Prijedor,44.9631,16.7597
10020,Šamac,45.0051,18.4881
10021,Bijeljina,44.7718,19.1162
10022,Ugljevik,44.6900,18.9980
10023,Bratunac,44.1684,19.3663
10024,,,
10025,Jezero,44.3349,17.1824
10026,Modriča,44.9422,18.2820
10027,,,
10029,Šipovo,44.1669,17.1231
1003,Banjaluka,44.7758,17.1856
10030,Banjaluka,44.7758,17.1856
10031,Banjaluka,44.7758,17.1856
10032,Banjaluka,44.7758,17.1856
10033,Donji Žabar,44.9414,18.6461
10034,Mostar,43.4317,17.8157
10035,Sokolac,43.9959,18.7346
10036,Sokolac,43.9959,18.7346
10037,Prnjavor,44.8805,17.6256
10038,Bijeljina,44.7718,19.1162
10039,Prnjavor,44.8805,17.6256
10040,Bileća,42.9790,18.3445
10041,Gradiška,45.0325,17.1527
10042,Vukosavlje,45.0097,18.2493
10043,Banjaluka,44.7758,17.1856
10044,Rudo,43.6633,19.3414
10045,Doboj,44.7412,17.9413
10046,Derventa,44.9518,17.9338
10047,Milići,44.1500,19.0833
10048,Tuzla,44.5746,18.6837
10049,Zvornik,44.4608,19.0531
1005,Brčko Distrikt,44.8235,18.8817
10051,Višegrad,43.7662,19.3036
10052,Trebinje,42.7918,18.2296
10053,Čajniče,43.5946,19.1199
10054,Novi Grad,45.0739,16.4974
10055,Modriča,44.9422,18.2820
10056,Lopare,44.6143,18.8494
10057,Prijedor,44.9631,16.7597
10058,Bileća,42.9790,18.3445
10059,Višegrad,43.7662,19.3036
1006,Banjaluka,44.7758,17.1856
10060,Foča,43.4544,18.7520
10061,Trnovo (RS),43.6667,18.4500
10062,Srbac,45.0425,17.5822
10063,Brčko Distrikt,44.8235,18.8817
10064,Zvornik,44.4608,19.0531
10065,Prnjavor,44.8805,17.6256
10066,Prnjavor,44.8805,17.6256
10067,Prijedor,44.9631,16.7597
10068,Donji Žabar,44.9414,18.6461
10069,Zvornik,44.4608,19.0531
1007,Brčko Distrikt,44.8235,18.8817
10070,Zvornik,44.4608,19.0531
10071,Han Pijesak,44.0826,18.9208
10073,Kneževo,44.5168,17.3407
10074,Vlasenica,44.1851,18.9996
10075,Prijedor,44.9631,16.7597
10076,Brčko Distrikt,44.8235,18.8817
10077,Prnjavor,44.8805,17.6256
10078,Lopare,44.6143,18.8494
10079,Srbac,45.0425,17.5822
1008,Srbac,45.0425,17.5822
10080,Banjaluka,44.7758,17.1856
10081,Prijedor,44.9631,16.7597
10082,Lopare,44.6143,18.8494
10084,Šamac,45.0051,18.4881
10085,Banjaluka,44.7758,17.1856
10086,Pelagićevo,44.8938,18.5736
10087,Bijeljina,44.7718,19.1162
10088,Banjaluka,44.7758,17.1856
10089,Novi Grad,45.0739,16.4974
1009,Čelinac,44.7331,17.4434
10090,Novi Grad,45.0739,16.4974
10091,Prijedor,44.9631,16.7597
10092,Mrkonjić Grad,44.4107,17.0473
10094,Milići,44.1500,19.0833
10095,Srbac,45.0425,17.5822
10096,Doboj,44.7412,17.9413
10097,Laktaši,44.8969,17.3236
10098,Teslić,44.5939,17.7376
10099,Trebinje,42.7918,18.2296
101,Višegrad,43.7662,19.3036
1010,Brčko Distrikt,44.8235,18.8817
10100,Doboj,44.7412,17.9413
10101,Han Pijesak,44.0826,18.9208
10102,Sanski Most,44.7629,16.5299
10103,Banjaluka,44.7758,17.1856
10104,Pelagićevo,44.8938,18.5736
10105,Modriča,44.9422,18.2820
10106,Srebrenica,44.0737,19.3320
10107,Brod,45.0466,18.0668
10109,Kozarska Dubica,45.1734,16.8063
1011,Prnjavor,44.8805,17.6256
10110,Istočno Novo Sarajevo,43.8111,18.4146
10111,Kotor Varoš,44.5398,17.5162
10112,Šamac,45.0051,18.4881
10114,Bosanska Krupa,44.8073,16.1796
10115,Pelagićevo,44.8938,18.5736
10116,,,
10117,Tuzla,44.5746,18.6837
10118,Tuzla,44.5746,18.6837
10119,Brčko Distrikt,44.8235,18.8817
1012,Višegrad,43.7662,19.3036
10120,Oštra Luka,44.8578,16.6606
10121,Gradiška,45.0325,17.1527
10122,Banjaluka,44.7758,17.1856
10124,Rudo,43.6633,19.3414
10125,Pale,43.7762,18.6682
10126,Kiseljak,43.9497,18.0512
10127,Sapna,44.4941,19.0019
10128,Sanski Most,44.7629,16.5299
10129,Bosanska Krupa,44.8073,16.1796
1013,Teslić,44.5939,17.7376
10130,Banjaluka,44.7758,17.1856
10132,Pelagićevo,44.8938,18.5736
10133,Srebrenica,44.0737,19.3320
10135,Bratunac,44.1684,19.3663
10136,Banjaluka,44.7758,17.1856
10137,Prijedor,44.9631,16.7597
10138,Laktaši,44.8969,17.3236
10139,Bijeljina,44.7718,19.1162
1014,Bileća,42.9790,18.3445
10140,Teslić,44.5939,17.7376
10141,Banjaluka,44.7758,17.1856
10142,Šamac,45.0051,18.4881
10143,Zvornik,44.4608,19.0531
10144,Banjaluka,44.7758,17.1856
10145,Ugljevik,44.6900,18.9980
10146,Modriča,44.9422,18.2820
10147,Pelagićevo,44.8938,18.5736
10148,Rogatica,43.8696,19.0691
10149,Kalinovik,43.4888,18.4426
1015,Višegrad,43.7662,19.3036
10150,Rogatica,43.8696,19.0691
10151,Banjaluka,44.7758,17.1856
10152,Osmaci,44.3830,18.9304
10153,Prnjavor,44.8805,17.6256
10154,Prnjavor,44.8805,17.6256
10155,Modriča,44.9422,18.2820
10156,Gradiška,45.0325,17.1527
10157,Teslić,44.5939,17.7376
10158,Prijedor,44.9631,16.7597
10159,Šipovo,44.1669,17.1231
10160,Bijeljina,44.7718,19.1162
10161,Lopare,44.6143,18.8494
10162,Bijeljina,44.7718,19.1162
10163,Banjaluka,44.7758,17.1856
10164,Bratunac,44.1684,19.3663
10165,Kozarska Dubica,45.1734,16.8063
10166,Pelagićevo,44.8938,18.5736
10167,Banjaluka,44.7758,17.1856
10169,Sanski Most,44.7629,16.5299
1017,Drvar,44.4080,16.3681
10170,Banjaluka,44.7758,17.1856
10171,Brod,45.0466,18.0668
10172,Prijedor,44.9631,16.7597
10173,Laktaši,44.8969,17.3236
10174,Prijedor,44.9631,16.7597
10175,Bijeljina,44.7718,19.1162
10178,Kotor Varoš,44.5398,17.5162
10179,Teslić,44.5939,17.7376
10180,Banjaluka,44.7758,17.1856
10181,Zvornik,44.4608,19.0531
10182,Bijeljina,44.7718,19.1162
10183,Banjaluka,44.7758,17.1856
10184,Milići,44.1500,19.0833
10185,Doboj,44.7412,17.9413
10186,Rudo,43.6633,19.3414
10187,Čelinac,44.7331,17.4434
10188,Doboj,44.7412,17.9413
10189,Prijedor,44.9631,16.7597
1019,Banjaluka,44.7758,17.1856
10190,Doboj,44.7412,17.9413
10192,Bijeljina,44.7718,19.1162
10193,Gradiška,45.0325,17.1527
10194,Zvornik,44.4608,19.0531
10195,Gradiška,45.0325,17.1527
10196,Bijeljina,44.7718,19.1162
10197,Prnjavor,44.8805,17.6256
10198,Srbac,45.0425,17.5822
10199,Rogatica,43.8696,19.0691
102,Modriča,44.9422,18.2820
1020,Novi Grad,45.0739,16.4974
10200,Prijedor,44.9631,16.7597
10201,Prnjavor,44.8805,17.6256
10202,Lopare,44.6143,18.8494
10203,Bijeljina,44.7718,19.1162
10204,Prnjavor,44.8805,17.6256
10206,Gradiška,45.0325,17.1527
10207,Doboj,44.7412,17.9413
10208,Doboj,44.7412,17.9413
10209,Banjaluka,44.7758,17.1856
1021,Doboj,44.7412,17.9413
10210,Laktaši,44.8969,17.3236
10211,,,
10212,Modriča,44.9422,18.2820
10213,Prijedor,44.9631,16.7597
10214,Prnjavor,44.8805,17.6256
10216,Kozarska Dubica,45.1734,16.8063
10217,Brčko Distrikt,44.8235,18.8817
10219,Bijeljina,44.7718,19.1162
1022,Bijeljina,44.7718,19.1162
10220,Banjaluka,44.7758,17.1856
10221,Banjaluka,44.7758,17.1856
10222,Prijedor,44.9631,16.7597
10223,Novo Sarajevo,43.8619,18.3903
10224,Banjaluka,44.7758,17.1856
10225,Velika Kladuša,45.1513,15.9125
10226,Zvornik,44.4608,19.0531
10227,Laktaši,44.8969,17.3236
10228,Lopare,44.6143,18.8494
10229,Laktaši,44.8969,17.3236
1023,Novi Grad (Sarajevo),43.8738,18.3199
10230,Kneževo,44.5168,17.3407
10231,Višegrad,43.7662,19.3036
10232,Brčko Distrikt,44.8235,18.8817
10233,Banjaluka,44.7758,17.1856
10234,Banovići,44.3977,18.4926
10235,Banjaluka,44.7758,17.1856
10236,Teslić,44.5939,17.7376
10237,Novo Sarajevo,43.8619,18.3903
10238,Lopare,44.6143,18.8494
10239,Zenica,44.3003,17.9498
1024,Laktaši,44.8969,17.3236
10240,Istočno Novo Sarajevo,43.8111,18.4146
10241,Prnjavor,44.8805,17.6256
10242,Bileća,42.9790,18.3445
10243,Istočno Novo Sarajevo,43.8111,18.4146
10244,Doboj,44.7412,17.9413
10245,Teslić,44.5939,17.7376
10247,Kalinovik,43.4888,18.4426
10248,Banjaluka,44.7758,17.1856
1025,Čitluk,43.2410,17.6759
10250,Doboj,44.7412,17.9413
10252,Kozarska Dubica,45.1734,16.8063
10254,Prijedor,44.9631,16.7597
10255,Brčko Distrikt,44.8235,18.8817
10256,Srbac,45.0425,17.5822
10257,Prijedor,44.9631,16.7597
10258,Prijedor,44.9631,16.7597
10259,Berkovići,43.1098,18.0868
10260,Banjaluka,44.7758,17.1856
10262,Banjaluka,44.7758,17.1856
10263,Pelagićevo,44.8938,18.5736
10264,Teslić,44.5939,17.7376
10265,Prnjavor,44.8805,17.6256
10266,Mrkonjić Grad,44.4107,17.0473
10267,Brčko Distrikt,44.8235,18.8817
10268,Doboj,44.7412,17.9413
10269,Gradiška,45.0325,17.1527
1027,Modriča,44.9422,18.2820
10270,Foča,43.4544,18.7520
10271,Laktaši,44.8969,17.3236
10272,Prnjavor,44.8805,17.6256
10274,Brčko Distrikt,44.8235,18.8817
10275,Čelinac,44.7331,17.4434
10276,Čelinac,44.7331,17.4434
10277,Banjaluka,44.7758,17.1856
10278,Derventa,44.9518,17.9338
10279,Derventa,44.9518,17.9338
10280,Velika Kladuša,45.1513,15.9125
10281,Mrkonjić Grad,44.4107,17.0473
10282,Vlasenica,44.1851,18.9996
10283,Kostajnica,45.2167,16.5333
10284,Prijedor,44.9631,16.7597
10285,Lopare,44.6143,18.8494
10287,,,
10288,Prijedor,44.9631,16.7597
10289,Bijeljina,44.7718,19.1162
1029,Teslić,44.5939,17.7376
10290,Prijedor,44.9631,16.7597
10291,Prijedor,44.9631,16.7597
10292,Bihać,44.7735,15.9286
10293,Ugljevik,44.6900,18.9980
10294,Prijedor,44.9631,16.7597
10295,Bijeljina,44.7718,19.1162
10296,Glamoč,44.1232,16.8381
10297,Banjaluka,44.7758,17.1856
10298,Derventa,44.9518,17.9338
10299,Gradiška,45.0325,17.1527
103,Derventa,44.9518,17.9338
1030,Bijeljina,44.7718,19.1162
10300,Banovići,44.3977,18.4926
10301,Bosansko Grahovo,44.1714,16.4489
10302,Brčko Distrikt,44.8235,18.8817
10303,Banjaluka,44.7758,17.1856
10304,Bijeljina,44.7718,19.1162
10305,Kozarska Dubica,45.1734,16.8063
10306,Gradiška,45.0325,17.1527
10307,Rogatica,43.8696,19.0691
10308,Ugljevik,44.6900,18.9980
10309,Teslić,44.5939,17.7376
10310,Prijedor,44.9631,16.7597
10311,Visoko,44.0158,18.1447
10312,Banjaluka,44.7758,17.1856
10313,Kotor Varoš,44.5398,17.5162
10314,Banjaluka,44.7758,17.1856
10315,Banjaluka,44.7758,17.1856
10316,Banjaluka,44.7758,17.1856
10317,Brčko Distrikt,44.8235,18.8817
10318,Brod,45.0466,18.0668
10319,Bijeljina,44.7718,19.1162
10320,Modriča,44.9422,18.2820
10323,Bijeljina,44.7718,19.1162
10324,Bijeljina,44.7718,19.1162
10325,Banjaluka,44.7758,17.1856
10326,Modriča,44.9422,18.2820
10327,Doboj,44.7412,17.9413
10328,Brčko Distrikt,44.8235,18.8817
10329,Banjaluka,44.7758,17.1856
1033,Zvornik,44.4608,19.0531
10330,Banjaluka,44.7758,17.1856
10331,Živinice,44.4252,18.6754
10332,Čelinac,44.7331,17.4434
10336,Derventa,44.9518,17.9338
10337,Vitez,44.1366,17.7626
10338,Banjaluka,44.7758,17.1856
10339,Banjaluka,44.7758,17.1856
1034,Gradiška,45.0325,17.1527
10340,Bratunac,44.1684,19.3663
10341,Banjaluka,44.7758,17.1856
10342,Prijedor,44.9631,16.7597
10343,Donji Žabar,44.9414,18.6461
