CUSTOMER_ID,TARIFF,ACTIVATION_TIME,STATUS
1,TMnet,30Sep2022 12:04:19,Active
2,TMnet,28May2021 16:07:46,Active
3,TMnet,05Mar2021 8:42:50,Active
4,TMnet,08Mar2021 17:12:10,Active
5,TM2,05Oct2017 6:49:35,Active
6,TMnet,28Oct2022 22:07:27,Active
7,TMnet,30Dec2020 11:20:31,Active
8,TMnet,07Apr2022 11:25:35,Active
9,TMnet,18Oct2023 14:46:05,Active
10,TMnet,20Jan2014 12:56:45,Active
11,TMnet,10May2022 20:56:20,Active
12,TMnet,01Nov2021 12:23:02,Active
13,TMnet,25May2015 11:37:17,Active
14,TM2,04May2017 12:17:26,Active
15,TM2,06Jul2015 10:05:46,Active
16,TMnet,18Mar2019 16:43:14,Active
17,TM2,11May2017 17:30:14,Active
18,TM2,19Jan2019 9:26:55,Active
19,TMnet,09Apr2019 5:12:36,Active
20,TM2,31Dec1999 23:00:00,Active
21,TM2,31Dec1999 23:00:00,Active
22,TM2,13Nov2018 8:48:12,Active
23,TM2,31Dec1999 23:00:00,Active
24,TM2,06Oct2012 17:34:38,Active
25,TM2,31Dec1999 23:00:00,Active
26,TM2,31Dec1999 23:00:00,Active
27,TM2,31Dec1999 23:00:00,Active
28,TM2,31Dec1999 23:00:00,Active
29,TM2,31Dec1999 23:00:00,Active
30,TM2,31Dec1999 23:00:00,Active
31,TMnet,15Dec2021 20:49:28,Active
32,TMnet,29Apr2021 9:36:07,Active
33,TM2,01Feb2018 11:35:39,Active
34,TM2,31Dec1999 23:00:00,Active
35,TM2,31Dec1999 23:00:00,Active
36,TMnet,18Jan2022 15:14:21,Active
37,TM2,12Mar2016 22:24:09,Active
38,TM1,31Dec1999 23:00:00,Active
39,TMnet,30Mar2020 19:20:27,Active
40,TMnet,20Oct2023 11:45:10,Active
41,TM1,31Dec1999 23:00:00,Active
42,TMnet,06Jun2017 19:54:18,Active
43,TM2,31Dec1999 23:00:00,Active
44,TMnet,31Dec1999 23:00:00,Active
45,TM1,18Apr2014 13:39:18,Active
46,TMnet,28Aug2023 14:27:20,Active
47,TM1,31Dec1999 23:00:00,Active
48,TMnet,16Jul2020 9:59:13,Active
49,TM2,29May2018 13:47:30,Active
50,TM2,31Dec1999 23:00:00,Active
51,TM2,31Dec1999 23:00:00,Active
52,TMnet,01Jul2023 20:53:16,Active
53,TM2,30Sep2013 7:24:26,Active
54,TM2,31Dec1999 23:00:00,Active
55,TM2,14Apr2017 9:36:03,Active
56,TM2,02Feb2015 15:08:38,Active
57,TM2,04Sep2013 9:56:18,Active
58,TM2,10Aug2014 7:07:16,Active
59,TM2,31Dec1999 23:00:00,Active
60,TM2,31Dec1999 23:00:00,Active
61,TM2,09Mar2016 9:14:16,Active
62,TM1,09Apr2019 13:13:09,Active
63,TM2,31Dec1999 23:00:00,Active
64,TM1,31Dec1999 23:00:00,Active
65,TM2,19Jan2015 15:52:34,Active
66,TMnet,26Oct2020 11:03:54,Active
67,TMnet,20Aug2021 6:39:06,Active
68,TMnet,09Aug2022 14:16:21,Active
69,TMnet,24Oct2021 9:27:33,Active
70,TMnet,16Oct2020 18:34:34,Active
71,TM1,28Nov2016 9:35:56,Active
72,TMnet,05Oct2023 15:40:38,Active
73,TMnet,01Oct2023 12:57:23,Active
74,TMnet,01Oct2023 12:43:08,Active
75,TMnet,20Feb2019 9:30:20,Active
76,TM2,31Dec1999 23:00:00,Active
77,TM2,13Jan2018 14:11:39,Active
78,TMnet,28Oct2019 15:19:22,Active
79,TM1,06Oct2014 18:22:28,Active
80,TM2,31Dec1999 23:00:00,Active
81,TM2,08Oct2018 13:22:37,Active
82,TM1,04Mar2015 19:40:56,Active
83,TMnet,13Feb2020 12:55:45,Active
84,TMnet,30Aug2021 16:57:50,Active
85,TM2,31Dec1999 23:00:00,Active
86,TM2,31Dec1999 23:00:00,Active
87,TM2,31Dec1999 23:00:00,Active
88,TMnet,11Mar2023 18:09:33,Active
89,TM2,03Feb2015 19:37:06,Active
90,TM2,31Dec1999 23:00:00,Active
91,TMnet,09Oct2021 17:38:52,Active
92,TM1,25Aug2019 8:06:19,Active
93,TM1,19Jul2017 10:28:13,Active
94,TMnet,25May2023 12:13:56,Active
95,TMnet,23Jan2022 9:55:45,Active
96,TM2,11Aug2015 4:56:15,Active
97,TM2,31Dec1999 23:00:00,Active
98,TM2,31Dec1999 23:00:00,Active
99,TMnet,06Aug2022 10:03:20,Active
100,TMnet,23Dec2020 15:17:34,Active
101,TM1,25Feb2015 11:31:54,Active
102,TM2,02May2017 8:54:26,Active
103,TM2,23Jan2019 16:34:30,Active
104,TM2,11Jan2021 10:55:19,Active
105,TM2,19Apr2013 19:15:29,Active
106,TM2,31Dec1999 23:00:00,Active
107,TM1,31Dec1999 23:00:00,Active
108,TMnet,23Oct2023 11:37:15,Active
109,TMnet,11Jun2020 15:09:53,Active
110,TMnet,08Aug2020 14:50:29,Active
111,TM2,31Dec1999 23:00:00,Active
112,TMnet,21Jan2021 18:33:47,Active
113,TMnet,17Oct2023 11:27:07,Active
114,TM2,31Dec1999 23:00:00,Active
115,TM2,27Mar2018 16:08:24,Active
116,TM1,31Dec1999 23:00:00,Active
117,TMnet,12Oct2020 16:00:41,Active
118,TMnet,14Nov2023 11:26:45,Active
119,TM2,31Dec1999 23:00:00,Active
120,TMnet,01Dec2014 6:50:38,Active
121,TM1,28Oct2013 7:09:50,Active
122,TMnet,20Jun2022 19:00:58,Active
123,TMnet,04Feb2022 18:13:48,Active
124,TMnet,03Jan2022 13:25:47,Active
125,TMnet,26Oct2023 17:33:33,Active
126,TMnet,10Jul2023 7:32:33,Active
127,TMnet,21Jan2020 15:49:59,Active
128,TM2,06Oct2018 7:57:11,Active
129,TMnet,24Aug2020 8:55:29,Active
130,TMnet,02Nov2021 13:25:47,Active
131,TMnet,03Dec2021 16:48:50,Active
132,TM2,28Oct2017 5:40:17,Active
133,TMnet,20Sep2021 9:07:41,Active
134,TM2,31Dec1999 23:00:00,Active
135,TMnet,31Dec1999 23:00:00,Active
136,TM2,31Dec1999 23:00:00,Active
137,TMnet,05Aug2022 8:25:34,Active
138,TMnet,20Jul2023 9:48:56,Active
139,TMnet,09Aug2023 19:39:21,Active
140,TM2,31Dec1999 23:00:00,Active
141,TMnet,04Oct2021 15:48:17,Active
142,TM2,31Dec1999 23:00:00,Active
143,TM1,31Dec1999 23:00:00,Active
144,TM2,11Dec2014 8:30:17,Active
145,TM1,31Dec1999 23:00:00,Active
146,TMnet,30Oct2023 23:11:41,Active
147,TMnet,02Mar2019 8:27:30,Active
148,TMnet,18Jul2022 6:49:13,Active
149,TMnet,22Mar2013 11:47:11,Active
150,TM2,31Dec1999 23:00:00,Active
151,TMnet,01Mar2023 23:52:02,Active
152,TM2,04Aug2017 8:51:02,Active
153,TMnet,28Sep2019 13:25:14,Active
154,TMnet,18Jun2022 20:04:29,Active
155,TMnet,27Jan2022 14:12:19,Active
156,TMnet,27May2023 8:44:08,Active
157,TM2,24Aug2017 8:00:42,Active
158,TM1,31Dec1999 23:00:00,Active
159,TMnet,24Mar2023 14:13:30,Active
160,TMnet,31Jul2022 14:01:11,Active
161,TM1,25May2017 12:03:15,Active
162,TMnet,01Jun2020 6:27:54,Active
163,TMnet,04Jul2022 10:15:38,Active
164,TMnet,29Oct2020 14:10:46,Active
165,TM2,01Jun2018 12:22:19,Active
166,TM2,31Dec1999 23:00:00,Active
167,TM1,31Dec1999 23:00:00,Active
168,TMnet,04Jul2016 13:09:49,Active
169,TMnet,31Aug2019 20:58:57,Active
170,TM1,31Dec1999 23:00:00,Active
171,TMnet,25Aug2019 7:52:48,Active
172,TM2,31Dec1999 23:00:00,Active
173,TMnet,20Aug2022 8:14:48,Active
174,TMnet,26Apr2022 15:14:12,Active
175,TMnet,15Nov2023 10:32:55,Active
176,TM2,31Dec1999 23:00:00,Active
177,TMnet,08Sep2021 16:16:20,Active
178,TM2,22Jun2018 16:18:01,Active
179,TMnet,26Jan2023 12:37:34,Active
180,TM2,31Dec1999 23:00:00,Active
181,TM2,31Dec1999 23:00:00,Active
182,TMnet,02Jun2023 16:19:17,Active
183,TM2,31Dec1999 23:00:00,Active
184,TMnet,10Feb2021 14:42:22,Active
185,TMnet,23Sep2021 18:56:50,Active
186,TM2,27Apr2013 11:11:17,Active
187,TM2,06Aug2018 6:43:48,Active
188,TMnet,17May2022 5:29:49,Active
189,TM2,23Jul2018 13:14:19,Active
190,TMnet,19Sep2021 14:25:59,Active
191,TMnet,09Mar2020 11:25:52,Active
192,TMnet,17Aug2023 10:47:08,Active
193,TM1,31Dec1999 23:00:00,Active
194,TM1,08Dec2021 14:09:23,Active
195,TM2,31Dec1999 23:00:00,Active
196,TMnet,25Apr2023 11:36:07,Active
197,TM2,26May2014 11:07:17,Active
198,TMnet,20Aug2021 7:35:20,Active
199,TMnet,19Jul2023 20:12:34,Active
200,TM2,20Aug2014 18:30:39,Active
