CUST_NUM,ACT_TIME,AMT_100pf
10011,01Aug2023 23:33:05.000,
10013,01Aug2023 23:33:10.000,
10043,02Aug2023 0:30:32.000,
10052,11Aug2023 20:21:24.000,50000
10052,11Sep2023 20:21:24.000,50000
10052,11Oct2023 20:21:24.000,50000
10083,02Aug2023 1:57:08.000,
10120,02Aug2023 2:29:22.000,
10126,01Aug2023 23:12:42.000,
10133,02Aug2023 1:32:51.000,
10174,02Aug2023 2:30:37.000,
10183,02Aug2023 1:37:55.000,
10189,02Aug2023 1:34:31.000,
10191,02Aug2023 0:53:53.000,
10220,02Aug2023 1:59:15.000,
10222,02Aug2023 0:54:13.000,
10233,02Aug2023 2:31:04.000,
10286,01Aug2023 23:47:33.000,
10396,21Aug2023 7:34:08.000,50000
10396,21Sep2023 7:34:08.000,50000
10396,21Oct2023 7:34:08.000,50000
10431,02Aug2023 2:33:56.000,
10446,02Aug2023 2:02:57.000,
10448,02Aug2023 1:46:14.000,
10459,02Aug2023 1:46:26.000,
10478,01Aug2023 23:03:05.000,
10483,02Aug2023 2:34:56.000,
10487,02Aug2023 2:35:01.000,
10523,01Aug2023 23:50:01.000,
10526,02Aug2023 0:00:20.000,
1059,16Aug2023 19:38:49.000,
10600,02Aug2023 2:06:09.000,
10623,01Aug2023 23:51:38.000,
10626,01Aug2023 23:24:35.000,
10630,02Aug2023 2:38:02.000,
10636,01Aug2023 23:51:49.000,
10652,02Aug2023 2:07:55.000,
10661,19Oct2023 14:53:19.000,
10668,01Aug2023 23:52:06.000,
10683,09Sep2023 19:40:16.000,30000
10683,17Sep2023 18:38:47.000,30000
10683,30Sep2023 16:56:39.000,30000
10683,09Oct2023 17:12:16.000,30000
10683,19Oct2023 8:22:59.000,30000
10683,28Oct2023 18:48:20.000,30000
10684,02Aug2023 0:07:54.000,
10687,02Aug2023 0:08:02.000,
10738,01Aug2023 23:27:56.000,
10746,02Aug2023 0:08:57.000,
10749,02Aug2023 1:12:00.000,
10750,02Aug2023 0:50:20.000,
10751,01Aug2023 22:58:42.000,
10759,02Aug2023 0:50:42.000,
10767,02Aug2023 0:03:09.000,
10776,02Aug2023 0:52:25.000,
10777,02Aug2023 2:12:45.000,
10790,01Aug2023 23:17:36.000,
10798,02Aug2023 0:10:35.000,
10800,01Aug2023 23:17:44.000,
10808,02Aug2023 0:03:58.000,
10810,02Aug2023 0:03:59.000,
10816,02Aug2023 0:56:14.000,
10820,02Aug2023 2:13:28.000,
10825,02Aug2023 0:04:17.000,
10853,02Aug2023 1:23:29.000,
10878,03Aug2023 8:18:05.000,30000
10878,10Aug2023 14:57:56.000,30000
10878,17Aug2023 14:57:56.000,30000
10878,24Aug2023 14:57:56.000,30000
10878,31Aug2023 14:57:56.000,30000
10878,07Sep2023 14:57:56.000,30000
10878,14Sep2023 17:26:32.000,30000
10878,21Sep2023 19:03:28.000,30000
10878,29Sep2023 17:27:58.000,30000
10878,08Oct2023 9:19:39.000,30000
10878,15Oct2023 9:39:14.000,30000
10878,25Oct2023 11:46:24.000,30000
10884,02Aug2023 0:20:02.000,
10913,02Aug2023 0:06:18.000,
10914,02Aug2023 0:20:57.000,
10918,02Aug2023 2:16:23.000,
10930,02Aug2023 0:26:48.000,
10935,01Aug2023 23:53:45.000,
10996,02Aug2023 0:28:35.000,
11073,02Aug2023 1:03:20.000,
11081,01Aug2023 23:56:54.000,
11082,01Aug2023 23:40:52.000,
11089,01Aug2023 23:57:17.000,
11105,02Aug2023 0:15:57.000,
11149,03Aug2023 17:21:10.000,
11160,03Aug2023 17:55:30.000,
11215,12Sep2023 11:20:48.000,
11218,03Aug2023 17:56:19.000,
11277,03Aug2023 16:52:09.000,
11281,03Aug2023 17:06:21.000,
11310,03Aug2023 19:06:50.000,
11326,17Sep2023 10:18:42.000,30000
11326,27Sep2023 10:08:50.000,30000
11326,14Oct2023 16:13:14.000,30000
11326,30Oct2023 8:47:13.000,30000
11352,03Aug2023 18:38:27.000,
11360,03Aug2023 18:38:33.000,
11380,03Aug2023 18:40:30.000,
