CUSTOMER_ID,PROMO_TO_SEG,STATUS_TO,TYPE_TO
1,1,A,DATA
1,2,A,VOICE
10,1,A,VOICE
10,4,A,DATA
100,1,A,DATA
100,2,A,VOICE
1000,1,A,DATA
1000,3,A,VOICE
10000,1,A,VOICE
10000,4,A,DATA
10001,2,A,VOICE
10001,6,A,DATA
10003,2,A,VOICE
10003,4,A,DATA
10004,3,A,DATA
10004,5,A,VOICE
10005,3,A,VOICE
10005,4,A,DATA
10006,4,A,DATA
10006,5,A,VOICE
10007,1,A,DATA
10007,5,A,VOICE
10008,4,A,VOICE
10008,7,A,DATA
1001,7,A,VOICE
1001,8,A,DATA
10010,2,A,DATA
10010,2,A,VOICE
10012,1,A,DATA
10012,5,A,VOICE
10014,5,A,DATA
10014,7,A,VOICE
10015,1,A,DATA
10015,4,A,VOICE
10016,4,A,DATA
10016,6,A,VOICE
10017,1,A,DATA
10017,1,A,VOICE
10018,7,A,VOICE
10018,8,A,DATA
10019,5,A,VOICE
10019,8,A,DATA
10021,1,A,DATA
10021,5,A,VOICE
10022,1,A,DATA
10022,2,A,VOICE
10023,4,A,DATA
10023,5,A,VOICE
10024,1,A,DATA
10024,8,A,VOICE
10025,8,A,DATA
10025,8,A,VOICE
10026,2,A,VOICE
10026,4,A,DATA
10027,2,A,DATA
10027,2,A,VOICE
10028,5,A,VOICE
10028,7,A,DATA
10029,2,A,VOICE
10029,6,A,DATA
1003,4,A,DATA
1003,5,A,VOICE
10030,2,A,DATA
10030,2,A,VOICE
10031,4,A,DATA
10031,4,A,VOICE
10032,8,A,DATA
10032,8,A,VOICE
10033,2,A,VOICE
10033,5,A,DATA
10035,1,A,DATA
10035,5,A,VOICE
10036,1,A,DATA
10036,6,A,VOICE
10037,2,A,VOICE
10037,6,A,DATA
10038,2,A,DATA
10038,3,A,VOICE
10039,2,A,VOICE
10039,8,A,DATA
10041,3,A,VOICE
10041,8,A,DATA
10042,4,A,VOICE
10042,8,A,DATA
10044,5,A,VOICE
10044,7,A,DATA
10045,2,A,VOICE
10045,8,A,DATA
10046,1,A,VOICE
10046,3,A,DATA
10047,1,A,DATA
10047,5,A,VOICE
10048,1,A,DATA
10048,2,A,VOICE
10049,2,A,DATA
10049,4,A,VOICE
1005,1,A,DATA
1005,4,A,VOICE
10051,1,A,DATA
10051,7,A,VOICE
10052,1,A,DATA
10052,8,A,VOICE
10053,2,A,VOICE
10053,3,A,DATA
10054,4,A,VOICE
10054,5,A,DATA
10056,1,A,DATA
10056,5,A,VOICE
10057,2,A,VOICE
10057,5,A,DATA
10058,7,A,VOICE
10058,8,A,DATA
10059,1,A,DATA
10059,4,A,VOICE
10062,1,A,DATA
10062,7,A,VOICE
10063,1,A,DATA
10063,2,A,VOICE
10064,1,A,DATA
10064,4,A,VOICE
10065,1,A,DATA
10065,8,A,VOICE
10066,1,A,DATA
10066,1,A,VOICE
10067,2,A,VOICE
10067,8,A,DATA
10068,1,A,DATA
10068,6,A,VOICE
10069,4,A,DATA
10069,4,A,VOICE
1007,1,A,DATA
1007,6,A,VOICE
10070,4,A,VOICE
10070,6,A,DATA
10071,1,A,DATA
10071,4,A,VOICE
10072,3,A,DATA
10072,5,A,VOICE
10073,1,A,DATA
10073,4,A,VOICE
10074,2,A,VOICE
10074,3,A,DATA
10075,1,A,DATA
10075,1,A,VOICE
10076,6,A,VOICE
10076,8,A,DATA
10077,1,A,VOICE
10077,4,A,DATA
10078,1,A,VOICE
10078,5,A,DATA
10079,1,A,DATA
10079,1,A,VOICE
1008,3,A,VOICE
1008,4,A,DATA
10080,1,A,DATA
10080,5,A,VOICE
10081,6,A,VOICE
10081,8,A,DATA
10082,4,A,DATA
10082,8,A,VOICE
10084,1,A,DATA
10084,2,A,VOICE
10085,1,A,DATA
10085,1,A,VOICE
10086,2,A,VOICE
10086,6,A,DATA
10087,5,A,DATA
10087,5,A,VOICE
10088,5,A,VOICE
10088,6,A,DATA
10089,1,A,DATA
10089,2,A,VOICE
1009,1,A,DATA
1009,3,A,VOICE
10090,1,A,DATA
10090,5,A,VOICE
10091,1,A,DATA
10091,4,A,VOICE
10092,1,A,DATA
10092,6,A,VOICE
10093,4,A,VOICE
10093,8,A,DATA
