CUST_NUM,MTH,TARIFF_OPTION,AMT_PF
10000,10,PROMO_TO,150.00
10021,8,PROMO_TO,600.00
10021,9,PROMO_TO,400.00
10021,10,PROMO_TO,1500.00
10031,9,PROMO_TO,300.00
10033,8,PROMO_TO,200.00
10069,10,PROMO_TO,550.00
10070,8,PROMO_TO,400.00
10070,9,PROMO_TO,400.00
10070,10,PROMO_TO,550.00
10116,10,PROMO_TO,150.00
10154,10,PROMO_TO,750.00
10157,8,PROMO_TO,200.00
10157,9,PROMO_TO,200.00
10157,10,PROMO_TO,200.00
10164,8,PROMO_TO,1100.00
10164,9,PROMO_TO,1100.00
10164,10,PROMO_TO,1100.00
10170,9,PROMO_TO,200.00
10170,10,PROMO_TO,200.00
10186,10,PROMO_TO,550.00
10226,8,PROMO_TO,200.00
10226,9,PROMO_TO,200.00
10226,10,PROMO_TO,550.00
10269,10,PROMO_TO,1100.00
10300,10,PROMO_TO,250.00
10306,8,PROMO_TO,200.00
10306,9,PROMO_TO,200.00
10306,10,PROMO_TO,200.00
10434,8,PROMO_TO,400.00
10434,9,PROMO_TO,200.00
10434,10,PROMO_TO,200.00
10435,8,PROMO_TO,750.00
10435,9,PROMO_TO,900.00
10435,10,PROMO_TO,600.00
10457,8,PROMO_TO,200.00
10457,10,PROMO_TO,200.00
10489,8,PROMO_TO,1750.00
10489,9,PROMO_TO,1750.00
10489,10,PROMO_TO,1150.00
1050,8,PROMO_TO,200.00
1050,9,PROMO_TO,200.00
10503,10,PROMO_TO,250.00
10532,9,PROMO_TO,550.00
10532,10,PROMO_TO,550.00
10556,9,PROMO_TO,350.00
10557,8,PROMO_TO,600.00
10557,10,PROMO_TO,200.00
10572,10,PROMO_TO,250.00
10578,8,PROMO_TO,350.00
10578,9,PROMO_TO,350.00
10656,10,PROMO_TO,550.00
10657,8,PROMO_TO,550.00
10659,10,PROMO_TO,400.00
1068,10,PROMO_TO,200.00
10694,10,PROMO_TO,550.00
10703,10,PROMO_TO,250.00
10714,8,PROMO_TO,550.00
10714,9,PROMO_TO,1100.00
10714,10,PROMO_TO,550.00
10755,9,PROMO_TO,200.00
10766,9,PROMO_TO,200.00
10768,8,PROMO_TO,350.00
10768,10,PROMO_TO,350.00
1083,8,PROMO_TO,200.00
1083,10,PROMO_TO,200.00
10854,8,PROMO_TO,550.00
10854,9,PROMO_TO,550.00
10854,10,PROMO_TO,1100.00
10904,9,PROMO_TO,200.00
10960,9,PROMO_TO,200.00
10960,10,PROMO_TO,200.00
10967,8,PROMO_TO,550.00
1100,8,PROMO_TO,350.00
1100,9,PROMO_TO,350.00
1100,10,PROMO_TO,350.00
11004,8,PROMO_TO,350.00
11007,8,PROMO_TO,200.00
11007,9,PROMO_TO,400.00
11031,9,PROMO_TO,200.00
11040,8,PROMO_TO,550.00
11076,8,PROMO_TO,300.00
11076,9,PROMO_TO,300.00
11087,8,PROMO_TO,200.00
11087,9,PROMO_TO,200.00
11087,10,PROMO_TO,200.00
11133,9,PROMO_TO,200.00
11134,8,PROMO_TO,150.00
11172,8,PROMO_TO,200.00
11172,9,PROMO_TO,200.00
11172,10,PROMO_TO,200.00
11212,8,PROMO_TO,350.00
11212,10,PROMO_TO,350.00
1122,9,PROMO_TO,1650.00
1122,10,PROMO_TO,500.00
11225,8,PROMO_TO,350.00
11225,9,PROMO_TO,350.00
11225,10,PROMO_TO,350.00
11233,8,PROMO_TO,550.00
11233,9,PROMO_TO,550.00
11233,10,PROMO_TO,550.00
1126,10,PROMO_TO,200.00
11264,8,PROMO_TO,550.00
11264,9,PROMO_TO,550.00
11264,10,PROMO_TO,550.00
11282,8,PROMO_TO,200.00
11285,9,PROMO_TO,550.00
11285,10,PROMO_TO,550.00
11290,8,PROMO_TO,250.00
11315,8,PROMO_TO,550.00
11315,9,PROMO_TO,550.00
11326,9,PROMO_TO,350.00
11326,10,PROMO_TO,350.00
1135,8,PROMO_TO,350.00
1135,9,PROMO_TO,350.00
11356,8,PROMO_TO,350.00
11356,9,PROMO_TO,350.00
1136,8,PROMO_TO,350.00
1136,9,PROMO_TO,700.00
11407,8,PROMO_TO,550.00
11407,9,PROMO_TO,550.00
11418,8,PROMO_TO,150.00
11422,8,PROMO_TO,200.00
11422,9,PROMO_TO,200.00
11422,10,PROMO_TO,200.00
11435,9,PROMO_TO,200.00
11435,10,PROMO_TO,250.00
1144,8,PROMO_TO,600.00
1144,9,PROMO_TO,200.00
1144,10,PROMO_TO,1100.00
11456,9,PROMO_TO,200.00
11456,10,PROMO_TO,200.00
11466,8,PROMO_TO,350.00
11466,9,PROMO_TO,350.00
11487,8,PROMO_TO,550.00
11487,9,PROMO_TO,550.00
11504,8,PROMO_TO,200.00
11504,9,PROMO_TO,200.00
11504,10,PROMO_TO,200.00
11540,10,PROMO_TO,350.00
11541,9,PROMO_TO,200.00
11541,10,PROMO_TO,200.00
11554,8,PROMO_TO,200.00
11554,9,PROMO_TO,200.00
11554,10,PROMO_TO,200.00
11572,10,PROMO_TO,200.00
11589,8,PROMO_TO,350.00
11589,9,PROMO_TO,350.00
11589,10,PROMO_TO,1450.00
11608,8,PROMO_TO,1500.00
11608,9,PROMO_TO,1500.00
11608,10,PROMO_TO,250.00
11636,8,PROMO_TO,350.00
11636,9,PROMO_TO,350.00
11636,10,PROMO_TO,1800.00
11637,10,PROMO_TO,350.00
11783,9,PROMO_TO,550.00
11783,10,PROMO_TO,550.00
11846,8,PROMO_TO,200.00
11846,9,PROMO_TO,200.00
11866,8,PROMO_TO,300.00
11976,8,PROMO_TO,1100.00
11976,9,PROMO_TO,1100.00
1200,8,PROMO_TO,400.00
1200,9,PROMO_TO,400.00
1200,10,PROMO_TO,200.00
12009,8,PROMO_TO,200.00
12009,9,PROMO_TO,200.00
12009,10,PROMO_TO,550.00
12067,8,PROMO_TO,200.00
12102,8,PROMO_TO,200.00
12102,10,PROMO_TO,400.00
12104,9,PROMO_TO,200.00
12118,8,PROMO_TO,1500.00
12118,9,PROMO_TO,1500.00
12118,10,PROMO_TO,1500.00
12126,8,PROMO_TO,350.00
12126,9,PROMO_TO,350.00
12126,10,PROMO_TO,350.00
12137,8,PROMO_TO,350.00
12137,9,PROMO_TO,350.00
12137,10,PROMO_TO,350.00
12144,8,PROMO_TO,2750.00
12144,9,PROMO_TO,1650.00
12144,10,PROMO_TO,1100.00
12146,8,PROMO_TO,1100.00
12146,9,PROMO_TO,550.00
12168,8,PROMO_TO,1100.00
12168,9,PROMO_TO,1100.00
12168,10,PROMO_TO,1100.00
12197,8,PROMO_TO,200.00
12198,8,PROMO_TO,150.00
12198,9,PROMO_TO,300.00
12198,10,PROMO_TO,150.00
122,8,PROMO_TO,450.00
122,9,PROMO_TO,450.00
122,10,PROMO_TO,1000.00
12266,8,PROMO_TO,200.00
12266,9,PROMO_TO,200.00
12266,10,PROMO_TO,200.00
12278,8,PROMO_TO,350.00
12278,9,PROMO_TO,350.00
12278,10,PROMO_TO,350.00
12307,8,PROMO_TO,350.00
12307,9,PROMO_TO,700.00
12373,9,PROMO_TO,200.00
12394,10,PROMO_TO,200.00
12400,8,PROMO_TO,250.00
12400,9,PROMO_TO,250.00
12400,10,PROMO_TO,500.00
12409,8,PROMO_TO,550.00
12409,9,PROMO_TO,550.00
12423,8,PROMO_TO,300.00
12526,8,PROMO_TO,400.00
12526,9,PROMO_TO,200.00
12526,10,PROMO_TO,200.00
12534,8,PROMO_TO,200.00
12534,9,PROMO_TO,200.00
12534,10,PROMO_TO,200.00
1254,8,PROMO_TO,1500.00
1254,9,PROMO_TO,1500.00
1254,10,PROMO_TO,1500.00
12540,8,PROMO_TO,350.00
12540,9,PROMO_TO,350.00
12571,9,PROMO_TO,150.00
12600,9,PROMO_TO,350.00
12607,8,PROMO_TO,200.00
12607,9,PROMO_TO,200.00
12607,10,PROMO_TO,200.00
12609,8,PROMO_TO,350.00
12609,9,PROMO_TO,350.00
12609,10,PROMO_TO,350.00
12621,9,PROMO_TO,200.00
12621,10,PROMO_TO,450.00
12700,8,PROMO_TO,1500.00
12700,9,PROMO_TO,1500.00
12705,8,PROMO_TO,550.00
12705,9,PROMO_TO,550.00
12705,10,PROMO_TO,550.00
1274,8,PROMO_TO,200.00
1274,9,PROMO_TO,200.00
1274,10,PROMO_TO,450.00
12774,8,PROMO_TO,550.00
128,8,PROMO_TO,200.00
128,9,PROMO_TO,200.00
128,10,PROMO_TO,200.00
12832,8,PROMO_TO,200.00
12832,10,PROMO_TO,200.00
12883,8,PROMO_TO,200.00
12883,9,PROMO_TO,200.00
12883,10,PROMO_TO,200.00
12896,8,PROMO_TO,1100.00
12896,9,PROMO_TO,1100.00
12982,8,PROMO_TO,1800.00
12982,9,PROMO_TO,1200.00
12982,10,PROMO_TO,1200.00
13,9,PROMO_TO,150.00
13008,8,PROMO_TO,550.00
13008,9,PROMO_TO,550.00
13143,8,PROMO_TO,550.00
13143,9,PROMO_TO,550.00
13175,8,PROMO_TO,300.00
13203,8,PROMO_TO,700.00
13203,9,PROMO_TO,350.00
13203,10,PROMO_TO,700.00
1323,8,PROMO_TO,350.00
1323,9,PROMO_TO,350.00
1324,8,PROMO_TO,200.00
13269,9,PROMO_TO,200.00
13269,10,PROMO_TO,350.00
13297,8,PROMO_TO,550.00
13297,9,PROMO_TO,550.00
13297,10,PROMO_TO,1100.00
1334,8,PROMO_TO,200.00
1334,9,PROMO_TO,200.00
1334,10,PROMO_TO,200.00
1335,8,PROMO_TO,200.00
1335,9,PROMO_TO,200.00
1335,10,PROMO_TO,200.00
13351,8,PROMO_TO,350.00
13351,9,PROMO_TO,700.00
13353,9,PROMO_TO,400.00
13353,10,PROMO_TO,200.00
13461,9,PROMO_TO,550.00
13461,10,PROMO_TO,550.00
13481,10,PROMO_TO,200.00
13521,10,PROMO_TO,550.00
13536,8,PROMO_TO,800.00
13536,9,PROMO_TO,2000.00
13536,10,PROMO_TO,1600.00
13593,8,PROMO_TO,200.00
13593,10,PROMO_TO,200.00
13606,9,PROMO_TO,200.00
13638,8,PROMO_TO,1100.00
13638,9,PROMO_TO,1100.00
13638,10,PROMO_TO,1100.00
13645,8,PROMO_TO,200.00
13645,9,PROMO_TO,200.00
13645,10,PROMO_TO,250.00
13688,8,PROMO_TO,350.00
13688,9,PROMO_TO,350.00
13688,10,PROMO_TO,350.00
13697,10,PROMO_TO,1100.00
1374,8,PROMO_TO,1100.00
1374,9,PROMO_TO,1100.00
1374,10,PROMO_TO,1100.00
13829,8,PROMO_TO,200.00
13829,9,PROMO_TO,200.00
13829,10,PROMO_TO,200.00
13854,8,PROMO_TO,550.00
13854,9,PROMO_TO,550.00
13868,9,PROMO_TO,200.00
13868,10,PROMO_TO,350.00
13944,8,PROMO_TO,600.00
13944,9,PROMO_TO,900.00
13944,10,PROMO_TO,450.00
13989,8,PROMO_TO,200.00
13989,9,PROMO_TO,200.00
14012,8,PROMO_TO,1100.00
14012,9,PROMO_TO,1100.00
