CUST_NUM,MTH,TARIFF_OPTION,AMT_PF
10,8,PROMO_TO,1000.00
10,9,PROMO_TO,1000.00
10,10,PROMO_TO,1000.00
10000,8,PROMO_TO,250.00
10000,9,PROMO_TO,750.00
10000,10,PROMO_TO,1800.00
10001,8,STD_TO,400.00
10001,9,STD_TO,400.00
10003,8,STD_TO,200.00
10003,9,STD_TO,200.00
10003,10,STD_TO,1000.00
10004,8,PROMO_TO,500.00
10004,9,PROMO_TO,500.00
10004,10,PROMO_TO,500.00
10005,8,STD_TO,200.00
10005,9,STD_TO,600.00
10005,10,STD_TO,600.00
10006,8,STD_TO,940.00
10008,8,STD_TO,1870.00
10008,9,STD_TO,1870.00
10008,10,STD_TO,1750.00
10009,8,STD_TO,300.00
10009,10,STD_TO,400.00
1001,8,STD_TO,3000.00
1001,9,STD_TO,2900.00
1001,10,STD_TO,3000.00
10010,8,STD_TO,120.00
10014,8,STD_TO,1400.00
10014,9,STD_TO,350.00
10016,8,STD_TO,600.00
10016,9,STD_TO,600.00
10018,8,STD_TO,2100.00
10019,8,STD_TO,2600.00
10019,9,STD_TO,3200.00
10019,10,STD_TO,2700.00
10020,8,STD_TO,1900.00
10020,9,STD_TO,600.00
10020,10,STD_TO,300.00
10023,8,STD_TO,600.00
10023,9,STD_TO,600.00
10023,10,STD_TO,1320.00
10025,8,STD_TO,2700.00
10025,9,STD_TO,600.00
10025,10,STD_TO,1500.00
10026,9,PROMO_TO,1000.00
10026,10,PROMO_TO,750.00
10026,10,STD_TO,200.00
10027,8,STD_TO,300.00
10028,8,STD_TO,1400.00
10028,9,STD_TO,900.00
10029,9,STD_TO,300.00
1003,8,PROMO_TO,1000.00
1003,9,PROMO_TO,1000.00
1003,10,PROMO_TO,1050.00
10030,8,PROMO_TO,350.00
10030,9,PROMO_TO,350.00
10030,10,PROMO_TO,350.00
10031,8,PROMO_TO,1000.00
10031,9,PROMO_TO,750.00
10031,10,PROMO_TO,750.00
10033,10,STD_TO,200.00
10035,10,STD_TO,200.00
10037,8,PROMO_TO,1500.00
10037,9,STD_TO,460.00
10038,8,PROMO_TO,350.00
10038,9,PROMO_TO,350.00
10038,10,PROMO_TO,350.00
10039,9,STD_TO,200.00
10039,10,STD_TO,900.00
1004,8,STD_TO,600.00
1004,9,STD_TO,600.00
10040,10,STD_TO,300.00
10041,8,STD_TO,2900.00
10041,9,STD_TO,2600.00
10041,10,STD_TO,3200.00
10042,8,STD_TO,2400.00
10042,9,STD_TO,3000.00
10042,10,STD_TO,3000.00
10044,8,STD_TO,600.00
10044,9,STD_TO,400.00
10044,10,STD_TO,600.00
10045,8,STD_TO,1200.00
10045,9,STD_TO,2700.00
10046,8,STD_TO,500.00
10046,10,STD_TO,600.00
10048,8,PROMO_TO,250.00
10049,9,STD_TO,200.00
10049,10,PROMO_TO,500.00
10050,8,STD_TO,1200.00
10050,9,STD_TO,600.00
10053,9,STD_TO,360.00
10054,8,PROMO_TO,1500.00
10054,9,PROMO_TO,1500.00
10054,10,PROMO_TO,1500.00
10055,9,STD_TO,300.00
10055,10,STD_TO,900.00
10057,9,STD_TO,300.00
10058,8,STD_TO,700.00
10058,10,STD_TO,600.00
1006,8,STD_TO,300.00
1006,9,STD_TO,600.00
1006,10,STD_TO,900.00
10061,10,STD_TO,600.00
10062,10,STD_TO,120.00
