CUST_NUM,MTH,TARIFF_PLAN,AMT_PF
10001,9,TP4,1200
10003,8,TP5,400
10003,9,TP5,400
10013,10,TP5,800
10019,8,TP6,300
10026,10,TP5,400
10029,8,TP4,1200
10029,9,TP4,1200
10029,10,TP4,1200
10032,8,TP5,1600
10032,9,TP5,1600
10032,10,TP5,800
10033,8,TP6,200
10033,9,TP6,1100
10033,10,TP6,200
10039,8,TP5,400
1004,9,TP6,100
10040,9,TP5,800
10040,10,TP5,1600
10057,8,TP6,1200
10057,9,TP6,400
10057,10,TP6,1100
10058,8,TP6,1700
1006,8,TP6,200
1006,9,TP6,1100
1006,10,TP6,700
10061,10,TP6,1500
10067,8,TP6,100
10067,9,TP6,400
10067,10,TP6,300
10079,10,TP5,800
10082,10,TP1,1900
10086,8,TP5,1600
10086,9,TP5,400
10086,10,TP5,400
10094,8,TP5,1200
10094,9,TP5,1200
10094,10,TP5,1200
10095,8,TP1,1900
10095,10,TP1,1900
10110,10,TP5,1200
10111,8,TP4,1200
10111,9,TP4,1200
10111,10,TP4,1200
10113,9,TP6,300
10113,10,TP6,200
1012,8,TP4,1200
1012,9,TP4,1200
1012,10,TP4,1200
10120,10,TP5,400
10123,8,TP6,1300
10124,8,TP6,400
10128,8,TP4,1200
10128,9,TP4,1200
10128,10,TP4,1200
10129,8,TP4,1200
10129,9,TP4,1200
10129,10,TP4,1200
10131,8,TP5,800
10134,8,TP5,2000
10134,9,TP5,1200
10135,8,TP6,1600
10135,9,TP6,1200
10135,10,TP6,2200
10136,8,TP5,800
10136,10,TP5,400
10137,8,TP5,400
10137,10,TP5,400
10139,9,TP6,1000
10139,10,TP6,1900
10141,8,TP6,200
10141,9,TP6,100
10141,10,TP6,100
10145,8,TP6,100
10145,9,TP6,100
10145,10,TP6,100
10147,8,TP5,400
10147,10,TP5,400
10160,8,TP6,100
10160,10,TP6,900
10161,8,TP4,1200
10161,9,TP4,1200
10161,10,TP4,1200
10168,8,TP6,100
10168,9,TP6,900
10170,9,TP6,200
10170,10,TP6,200
10173,8,TP5,800
10174,10,TP5,800
10176,8,TP5,800
10176,9,TP5,2000
10176,10,TP5,800
10179,8,TP6,1600
1018,8,TP5,800
10180,8,TP4,1200
10180,9,TP4,1200
10180,10,TP4,1200
1019,10,TP5,1200
10192,8,TP6,400
10193,8,TP5,800
10193,10,TP6,100
10194,9,TP6,300
10194,10,TP6,100
10195,8,TP6,2400
10195,9,TP6,1400
10195,10,TP6,2300
10197,10,TP5,400
10199,8,TP4,1200
10199,9,TP4,1200
10199,10,TP4,1200
10209,8,TP6,2800
10209,9,TP6,700
10209,10,TP6,700
10210,8,TP4,1200
10210,9,TP4,1200
10210,10,TP4,1200
10216,8,TP6,400
10216,10,TP6,500
1022,9,TP5,1600
1022,10,TP5,1600
10220,10,TP5,1200
10223,8,TP5,2000
10223,9,TP5,2400
10223,10,TP5,2000
10225,8,TP5,1600
10226,8,TP6,100
10226,9,TP6,100
10227,10,TP5,800
10228,8,TP5,2000
10228,9,TP5,1600
10228,10,TP5,1600
10233,9,TP4,1200
10234,8,TP4,1200
10234,9,TP4,1200
10234,10,TP4,1200
10235,8,TP5,2000
10235,9,TP5,1600
10235,10,TP5,1600
10237,8,TP5,2000
10237,9,TP5,1600
10237,10,TP5,1600
10239,8,TP5,400
10239,9,TP5,1600
10243,8,TP5,400
10246,9,TP5,800
10246,9,TP6,300
10248,10,TP5,1600
1025,9,TP6,1100
1025,10,TP6,400
10250,9,TP5,400
1026,8,TP5,1600
10263,8,TP6,2900
10263,9,TP6,2700
10263,10,TP6,2000
10273,8,TP5,800
10273,9,TP5,400
10275,8,TP4,1200
10275,9,TP4,1200
10275,10,TP4,1200
10277,8,TP6,2100
10277,9,TP6,2200
10277,10,TP6,1800
1029,8,TP6,100
1029,9,TP6,100
10292,8,TP5,1600
10292,9,TP5,400
10299,8,TP4,1200
10299,10,TP4,1200
10301,8,TP6,200
10301,9,TP6,100
10301,10,TP6,600
10308,9,TP6,200
10308,10,TP6,600
10310,8,TP6,500
10310,10,TP6,500
10312,8,TP6,900
10312,9,TP6,1400
10312,10,TP6,1200
10313,9,TP6,100
10315,8,TP4,1200
10315,9,TP4,1200
10321,8,TP5,1600
10324,8,TP6,1500
10324,9,TP6,1500
10324,10,TP6,700
10325,8,TP5,800
10325,10,TP5,400
10328,10,TP6,400
1033,8,TP6,1300
1033,9,TP6,1100
1033,10,TP6,800
10330,8,TP1,1900
10330,9,TP1,1900
10334,8,TP5,1200
10334,9,TP5,400
10336,10,TP6,200
10338,8,TP5,1600
10338,9,TP5,1600
10338,10,TP5,1600
10339,9,TP4,1200
10339,10,TP4,1200
10348,8,TP4,1200
10348,9,TP4,1200
10348,10,TP4,1200
10352,8,TP6,200
10352,10,TP6,800
10353,8,TP6,2000
10353,9,TP6,600
10353,10,TP6,1800
10354,8,TP1,1900
10359,9,TP6,100
1036,8,TP6,200
1036,9,TP6,100
10361,8,TP4,1200
10361,9,TP4,1200
10361,10,TP4,1200
10362,8,TP6,500
10374,8,TP5,1600
10378,10,TP5,800
10382,8,TP4,1200
10382,9,TP4,1200
10382,10,TP4,1200
10386,8,TP6,1400
10386,9,TP6,900
10386,10,TP6,1400
10388,8,TP4,1200
10388,9,TP4,1200
10388,10,TP4,1200
10390,8,TP6,900
10390,9,TP6,1900
10390,10,TP6,1800
10391,8,TP5,1600
104,9,TP4,1200
1040,8,TP5,400
1040,10,TP6,400
10405,8,TP5,800
10409,8,TP5,400
10409,10,TP5,800
1041,10,TP6,900
10410,8,TP5,400
10410,8,TP6,300
10410,9,TP6,700
10410,10,TP6,100
10411,8,TP4,1200
10411,9,TP4,1200
10411,10,TP4,1200
10421,10,TP6,300
10423,10,TP5,1200
10428,10,TP6,100
10430,8,TP5,400
10430,9,TP6,200
10435,8,TP4,1200
10435,9,TP4,1200
10435,10,TP4,1200
10438,10,TP3,800
10445,8,TP5,1600
10445,9,TP5,1600
10445,10,TP5,1600
10460,10,TP5,800
10462,8,TP6,600
10462,9,TP6,500
10462,10,TP6,100
10463,8,TP5,1200
10465,8,TP6,1400
10465,9,TP6,1200
10465,10,TP6,1100
10467,8,TP3,800
10467,10,TP3,800
10468,8,TP5,400
1047,8,TP5,800
1047,9,TP5,400
1047,10,TP5,400
10472,8,TP4,1200
10472,9,TP4,1200
10472,10,TP4,1200
10475,10,TP6,1800
10476,8,TP6,2200
10476,9,TP6,2400
10476,10,TP6,2500
10479,8,TP4,1200
10479,9,TP4,1200
10479,10,TP4,1200
10483,9,TP5,400
10483,10,TP5,1200
10488,9,TP6,1000
1049,8,TP6,700
1049,9,TP6,700
1049,10,TP6,900
10497,8,TP5,400
10497,9,TP5,400
10498,8,TP6,1200
1050,8,TP6,1200
1050,9,TP6,800
1050,10,TP6,1500
10500,10,TP6,1500
10502,9,TP5,400
10502,10,TP5,400
10506,8,TP5,400
10509,8,TP2,1200
10509,9,TP2,1200
10509,10,TP2,1200
10511,10,TP6,200
10517,8,TP4,1200
10517,9,TP4,1200
10517,10,TP4,1200
10524,10,TP6,300
1053,10,TP5,400
10532,8,TP3,800
10537,9,TP5,400
10537,10,TP5,400
1054,8,TP4,1200
1054,9,TP4,1200
1054,10,TP4,1200
10543,8,TP5,800
10543,10,TP5,400
10557,8,TP6,500
