CUST_NUM,CALL_MTH,AMT_pf,P_UNITS,S_UNITS
1,8,40.0000,120,66
1,9,40.0000,120,76
1,10,240.0000,720,439
100,8,80.0000,240,155
100,9,180.0000,540,486
100,10,220.0000,660,440
1000,8,280.0000,840,530
1000,9,120.0000,360,208
1000,10,180.0000,540,315
10001,9,20.0000,60,5
10001,10,60.0000,180,12
10003,8,60.0000,180,71
10003,9,200.0000,600,207
10003,10,160.0000,480,88
10004,8,440.0000,1320,825
10004,9,700.0000,2100,1508
10004,10,540.0000,1620,1013
10005,8,120.0000,360,137
10005,9,160.0000,480,255
10005,10,200.0000,600,355
10006,8,640.0000,1920,1225
10007,8,80.0000,240,156
10007,9,960.0000,2880,2763
10007,10,120.0000,360,324
10008,8,240.0000,720,208
10008,9,360.0000,1080,301
10008,10,260.0000,780,234
1001,8,1520.0000,4560,2391
1001,9,920.0000,2760,1502
1001,10,2100.0000,6300,3602
10010,8,183.0000,780,361
10010,9,169.0000,540,241
10010,10,120.0000,360,221
10012,8,852.0000,2820,1204
10012,9,634.0000,2760,1443
10012,10,992.0000,3900,2327
10014,8,1480.0000,4440,4207
10015,8,260.0000,780,195
10015,9,120.0000,360,94
10015,10,160.0000,480,148
10016,8,1100.0000,3300,1277
10016,9,900.0000,2700,1235
10018,8,1460.0000,4380,2508
10019,8,900.0000,2700,1739
10019,9,520.0000,1560,980
10019,10,1300.0000,3900,2517
1002,10,60.0000,180,115
10020,9,40.0000,120,88
10021,9,140.0000,420,376
10021,10,220.0000,660,579
10022,9,40.0000,120,68
10023,8,760.0000,2280,1078
10023,9,360.0000,1080,516
10023,10,420.0000,1260,542
10024,8,2140.0000,6420,4095
10024,9,4660.0000,13980,9914
10024,10,4600.0000,13800,9243
10025,8,4800.0000,14400,11246
10025,9,320.0000,960,659
10025,10,2320.0000,6960,5007
10026,9,100.0000,300,274
10027,8,140.0000,420,291
10027,10,380.0000,1140,794
10028,8,600.0000,1800,1209
10028,9,420.0000,1260,860
10029,8,20.0000,60,13
10029,9,40.0000,120,61
10029,10,220.0000,660,498
1003,8,340.0000,1020,598
1003,9,660.0000,1980,1454
1003,10,260.0000,780,423
10030,8,80.0000,240,101
10030,9,160.0000,480,235
10030,10,20.0000,60,6
10031,8,300.0000,900,215
10031,9,200.0000,600,373
10031,10,80.0000,240,35
10032,8,1480.0000,4440,2291
10032,9,2200.0000,6600,4250
10032,10,1020.0000,3060,2136
10033,9,20.0000,60,26
10034,10,100.0000,300,241
10035,8,640.0000,1920,1203
10035,9,500.0000,1500,561
10035,10,400.0000,1200,526
10036,8,380.0000,1140,494
10036,9,1220.0000,3660,1789
10036,10,200.0000,600,324
10037,9,180.0000,540,145
10038,8,240.0000,720,263
10038,9,80.0000,240,154
10038,10,480.0000,1440,770
10039,10,20.0000,60,46
1004,9,40.0000,120,71
10040,10,40.0000,120,77
10041,8,40.0000,120,45
10041,9,280.0000,840,318
10041,10,300.0000,900,265
10042,9,100.0000,300,240
10042,10,60.0000,180,110
10044,8,560.0000,1680,761
10044,9,1000.0000,3000,1269
10044,10,580.0000,1740,574
10047,8,900.0000,2700,1820
10047,9,880.0000,2640,1660
10047,10,640.0000,1920,1195
10048,8,120.0000,360,67
10048,9,20.0000,60,6
10048,10,140.0000,420,202
10049,8,40.0000,120,64
10049,9,180.0000,540,230
10049,10,160.0000,480,214
1005,8,200.0000,600,371
1005,9,220.0000,660,448
1005,10,100.0000,300,294
10051,8,1800.0000,5400,3993
10051,9,1000.0000,3000,2290
10051,10,780.0000,2340,1644
10052,8,3235.0000,26820,19802
10052,9,2614.0000,10860,6626
10052,10,2978.0000,11820,6875
10053,8,60.0000,180,38
10053,9,100.0000,300,79
10053,10,20.0000,60,25
10054,8,280.0000,840,454
10054,9,100.0000,300,154
10054,10,80.0000,240,60
10056,8,640.0000,1920,1247
10056,9,400.0000,1200,994
10056,10,580.0000,1740,1219
10057,8,20.0000,60,21
10057,9,40.0000,120,67
10057,10,180.0000,540,248
10058,8,760.0000,2280,1275
10058,9,1500.0000,4500,2025
10058,10,1400.0000,4200,1633
10059,8,340.0000,1020,677
10059,9,160.0000,480,331
10059,10,420.0000,1260,943
1006,10,160.0000,480,232
10062,8,1620.0000,4860,3146
10062,9,1940.0000,5820,3878
10062,10,1360.0000,4080,2330
10063,9,87.0000,360,215
10063,10,38.0000,180,74
10064,8,200.0000,600,389
10064,9,60.0000,180,98
10064,10,860.0000,2580,1808
10065,8,820.0000,2460,1164
10065,9,1340.0000,4020,2154
10065,10,1180.0000,3540,1782
10066,10,860.0000,2580,1251
10067,9,20.0000,60,20
10067,10,20.0000,60,37
10068,8,290.0000,1860,1724
10068,9,727.0000,2940,2339
10068,10,1100.0000,5940,5260
10069,8,100.0000,300,134
10069,9,480.0000,1440,641
10069,10,340.0000,1020,351
1007,8,1420.0000,4260,3515
1007,9,320.0000,960,740
1007,10,960.0000,2880,2162
10071,8,180.0000,540,275
10071,9,120.0000,360,206
10073,8,240.0000,720,364
10073,9,280.0000,840,328
10073,10,560.0000,1680,958
10074,8,80.0000,240,83
10074,9,60.0000,180,126
10074,10,40.0000,120,73
10076,8,980.0000,2940,1304
10076,9,1000.0000,3000,1573
10076,10,700.0000,2100,819
10079,10,2120.0000,6360,5240
1008,8,220.0000,660,428
1008,10,40.0000,120,63
10080,8,560.0000,1680,1186
10080,9,660.0000,1980,1450
10080,10,600.0000,1800,1315
10081,8,1320.0000,3960,2374
10081,9,1060.0000,3180,2021
10081,10,1320.0000,3960,2276
10082,8,3220.0000,9660,5039
10082,9,3620.0000,10860,5939
10082,10,2360.0000,7080,3893
10084,8,9.0000,60,11
10084,10,20.0000,60,9
10085,10,60.0000,180,49
10087,8,600.0000,1800,971
10087,9,700.0000,2100,1080
10087,10,280.0000,840,370
10088,8,720.0000,2160,1039
10088,9,200.0000,600,302
10088,10,400.0000,1200,542
10089,8,140.0000,420,322
10089,9,120.0000,360,302
1009,8,40.0000,120,99
10090,8,260.0000,780,535
10090,9,840.0000,2520,2263
10090,10,440.0000,1320,1170
10091,8,20.0000,60,33
10091,9,40.0000,120,28
10092,8,400.0000,1200,957
10092,9,1260.0000,3780,3324
10092,10,500.0000,1500,1281
10093,8,340.0000,1020,376
10093,9,20.0000,60,8
10094,8,380.0000,1140,586
10094,9,560.0000,1680,799
10094,10,860.0000,2580,1628
10095,8,40.0000,120,44
10095,9,40.0000,120,17
10095,10,80.0000,240,125
10097,8,20.0000,60,29
10099,8,1220.0000,3660,1851
10099,9,620.0000,1860,920
10099,10,580.0000,1740,672
101,8,460.0000,1380,1102
101,9,560.0000,1680,1058
101,10,560.0000,1680,1344
1010,8,540.0000,1620,1276
1010,9,360.0000,1080,710
1010,10,560.0000,1680,1274
10101,8,960.0000,2880,2008
10101,9,580.0000,1740,949
10101,10,420.0000,1260,807
10102,8,40.0000,120,101
10103,8,600.0000,1800,1495
10103,9,420.0000,1260,863
10103,10,150.0000,660,381
10104,8,2320.0000,6960,4675
10104,9,2780.0000,8340,5727
10104,10,1740.0000,5220,3270
10105,8,360.0000,1080,309
10105,9,120.0000,360,130
10106,8,900.0000,2700,1923
10106,9,1000.0000,3000,1886
10106,10,1620.0000,4860,3566
10107,8,300.0000,900,679
10107,9,120.0000,360,138
10107,10,80.0000,240,84
10108,8,300.0000,900,650
10109,8,80.0000,240,119
10109,9,140.0000,420,192
10109,10,200.0000,600,269
1011,8,840.0000,2520,1722
1011,9,320.0000,960,676
1011,10,720.0000,2160,1449
10110,10,208.0000,900,659
10111,8,40.0000,120,91
10111,9,240.0000,720,449
10111,10,240.0000,720,188
10113,9,100.0000,300,101
10114,8,40.0000,120,100
10115,8,100.0000,300,112
10115,9,140.0000,420,123
10115,10,160.0000,480,101
10116,10,180.0000,540,265
10119,9,100.0000,300,156
10119,10,160.0000,480,464
1012,8,120.0000,360,122
1012,9,220.0000,660,349
1012,10,300.0000,900,332
10121,8,460.0000,1380,792
10121,9,400.0000,1200,825
10121,10,200.0000,600,320
10122,8,60.0000,180,36
10122,9,20.0000,60,42
10122,10,160.0000,480,291
10124,8,240.0000,720,261
10124,9,40.0000,120,58
10124,10,300.0000,900,447
10125,8,420.0000,1260,731
10125,9,320.0000,960,496
10125,10,814.0000,2640,1599
10127,8,500.0000,1500,991
10127,9,100.0000,300,195
10127,10,1360.0000,4080,2906
10128,8,240.0000,720,633
10128,9,60.0000,180,59
10128,10,320.0000,960,616
10130,9,180.0000,540,429
10130,10,460.0000,1380,947
10131,8,20.0000,60,30
10132,8,380.0000,1140,950
10132,9,100.0000,300,244
10132,10,500.0000,1500,1286
10133,9,79.6600,240,212
10133,10,180.0000,540,355
10134,8,420.0000,1260,957
10134,9,300.0000,900,626
10135,8,740.0000,2220,1256
10135,9,760.0000,2280,1637
10135,10,1560.0000,4680,2583
10137,8,560.0000,1680,1025
10137,10,300.0000,900,640
10138,10,20.0000,60,56
10139,8,120.0000,360,180
10139,9,420.0000,1260,571
10139,10,760.0000,2280,1067
1014,8,700.0000,2100,1101
1014,9,500.0000,1500,658
1014,10,580.0000,1740,914
10140,8,420.0000,1260,614
10140,9,800.0000,2400,934
10140,10,540.0000,1620,500
10141,8,220.0000,660,347
10141,9,260.0000,780,441
10142,8,1320.0000,3960,3631
10142,9,420.0000,1260,978
10142,10,1100.0000,3300,2749
10143,9,700.0000,2100,1420
10143,10,620.0000,1860,1497
10144,8,2040.0000,6300,4968
10144,9,1700.0000,5100,3403
10144,10,60.0000,180,147
10145,8,920.0000,2760,1701
10145,9,280.0000,840,389
10145,10,460.0000,1380,786
10148,8,20.0000,60,16
10148,9,120.0000,360,251
10148,10,360.0000,1080,882
10149,8,60.0000,180,107
10149,9,120.0000,360,258
10149,10,160.0000,480,356
1015,8,360.0000,1080,581
1015,9,640.0000,1920,985
1015,10,620.0000,1860,1183
10150,8,900.0000,2700,2125
10150,9,620.0000,1860,1368
10150,10,440.0000,1320,912
10151,8,120.0000,360,258
10151,9,120.0000,360,189
10151,10,727.0000,2280,1653
10153,8,360.0000,1080,985
10153,9,80.0000,240,162
10154,10,194.0000,780,422
10155,8,560.0000,1680,1137
10155,10,100.0000,300,156
10156,10,100.0000,300,243
10157,8,40.0000,120,42
10157,9,40.0000,120,31
10157,10,40.0000,120,79
10158,8,40.0000,120,81
10159,8,80.0000,240,139
10159,9,60.0000,180,79
10159,10,220.0000,660,482
1016,8,60.0000,180,119
10160,8,900.0000,2700,2308
10160,9,180.0000,540,396
10160,10,320.0000,960,735
10161,8,980.0000,2940,1593
10161,9,900.0000,2700,1851
10161,10,1020.0000,3060,2056
10162,8,460.0000,1380,746
10162,9,240.0000,720,283
10162,10,460.0000,1380,893
10163,8,520.0000,1560,1032
10163,9,2400.0000,7200,5385
10163,10,2100.0000,6300,4390
10164,10,500.0000,1500,1056
10165,8,560.0000,1680,1130
10165,9,560.0000,1680,1155
10165,10,2320.0000,6960,5431
10167,8,600.0000,1800,1217
10167,9,460.0000,1380,873
10167,10,700.0000,2100,1229
10169,10,140.0000,420,311
1017,8,480.0000,1440,1305
1017,9,220.0000,660,516
1017,10,180.0000,540,441
10170,8,80.0000,240,191
10170,10,100.0000,300,107
10171,8,540.0000,1620,1414
10171,9,300.0000,900,777
10171,10,340.0000,1020,802
10173,8,260.0000,780,582
10173,10,240.0000,720,556
10175,8,240.0000,720,307
10175,9,760.0000,2280,1557
10175,10,440.0000,1320,928
10176,8,280.0000,1020,781
10176,9,800.0000,2400,1580
10177,8,160.0000,480,357
10178,8,40.0000,120,21
10178,10,40.0000,120,24
10179,8,820.0000,2460,1498
10179,9,4700.0000,14100,9323
10179,10,1640.0000,4920,3007
1018,8,40.0000,120,47
10180,8,1700.0000,5100,3549
10180,9,1400.0000,4200,2973
10180,10,2000.0000,6000,4550
10181,8,360.0000,1080,763
10181,9,520.0000,1560,1094
10181,10,640.0000,1920,1490
10182,8,463.0000,1620,967
10182,9,76.0000,360,172
10182,10,178.0000,600,347
10183,10,220.0000,660,179
10184,8,381.0000,1440,1280
10184,9,227.0000,780,687
10184,10,101.0000,600,523
10185,8,100.0000,300,124
10185,9,560.0000,1680,1237
10185,10,220.0000,660,298
10186,8,320.0000,960,664
10186,9,140.0000,420,365
10186,10,140.0000,420,340
10187,8,320.0000,960,731
10187,10,200.0000,600,403
10188,8,220.0000,660,242
10188,9,240.0000,720,274
10188,10,400.0000,1200,430
1019,10,160.0000,480,453
10190,8,560.0000,1680,1169
10190,9,620.0000,1860,1259
10192,8,120.0000,360,180
10192,10,200.0000,600,338
10193,8,220.0000,660,503
10193,9,160.0000,480,267
10193,10,180.0000,540,319
10194,8,540.0000,1620,798
10194,9,440.0000,1320,823
10194,10,660.0000,1980,1243
10196,8,400.0000,1200,777
10196,9,60.0000,180,84
10196,10,180.0000,540,450
10197,8,740.0000,2220,1363
10197,9,2120.0000,6360,5193
10197,10,1340.0000,4020,3052
10198,8,480.0000,1440,616
10198,9,220.0000,660,328
10198,10,800.0000,2400,1748
10199,8,1580.0000,4740,3161
10199,9,2500.0000,7500,4773
10199,10,3560.0000,10680,6647
102,8,120.0000,360,182
102,9,220.0000,660,242
102,10,260.0000,780,269
1020,8,107.0000,420,202
1020,9,193.0000,1140,802
1020,10,20.0000,60,10
10200,8,460.0000,1380,422
10200,9,460.0000,1380,457
10200,10,220.0000,660,174
10201,8,580.0000,1740,1140
10201,9,240.0000,720,392
10201,10,500.0000,1500,1157
10202,8,1300.0000,3900,2625
10202,9,900.0000,2700,1674
10202,10,1100.0000,3300,2254
10203,8,960.0000,2880,1768
10203,9,1280.0000,3840,2607
10203,10,1340.0000,4020,2617
10204,8,320.0000,960,763
10204,10,120.0000,360,310
10205,8,760.0000,2280,2145
10205,9,440.0000,1320,1269
10206,8,160.0000,480,281
10206,10,100.0000,300,260
10207,8,1660.0000,4980,2401
10207,9,1840.0000,5520,3167
10207,10,1320.0000,3960,1950
10208,8,560.0000,1680,1106
10208,9,1300.0000,3900,2790
10208,10,480.0000,1440,914
10209,8,420.0000,1260,555
10209,9,360.0000,1080,677
10209,10,200.0000,600,245
1021,8,20.0000,60,7
1021,9,80.0000,240,119
1021,10,80.0000,240,85
10210,8,100.0000,300,177
10210,9,360.0000,1080,715
10210,10,480.0000,1440,862
10211,9,80.0000,240,116
10212,9,340.0000,1020,592
10213,8,160.0000,480,341
10213,9,420.0000,1260,900
10213,10,220.0000,660,399
10214,8,60.0000,180,70
10214,9,20.0000,60,19
10214,10,40.0000,120,32
10215,8,20.0000,60,14
10215,9,120.0000,360,139
10216,8,20.0000,60,30
10216,10,20.0000,60,60
10217,8,2960.0000,8880,7867
10219,8,120.0000,360,212
10219,10,240.0000,720,405
1022,8,1520.0000,4560,3555
1022,9,1260.0000,3780,2986
1022,10,1340.0000,4020,3589
10220,10,1276.0000,3900,3493
10221,8,100.0000,300,176
10221,9,80.0000,240,150
10221,10,180.0000,540,373
10222,10,880.0000,2640,1649
10224,8,80.0000,240,147
10224,9,340.0000,1020,590
10224,10,500.0000,1500,842
10225,8,40.0000,180,176
10225,9,40.0000,120,82
10226,9,20.0000,60,60
10227,10,104.0000,360,249
10228,8,280.0000,840,682
10228,9,100.0000,300,168
10228,10,80.0000,240,148
10229,8,1980.0000,5940,5586
10229,9,20.0000,60,36
10229,10,140.0000,420,189
10230,8,936.0000,2940,1888
10230,9,138.0000,480,326
10230,10,336.0000,1140,649
10232,8,440.0000,1320,720
10232,9,300.0000,900,291
10232,10,320.0000,960,247
10233,9,400.0000,1200,1030
10233,10,1280.0000,3840,2809
10234,8,220.0000,660,338
10234,9,320.0000,960,696
10236,8,200.0000,600,398
10236,9,100.0000,300,215
10236,10,169.0000,540,341
10238,9,20.0000,60,6
1024,9,40.0000,120,80
10240,9,160.0000,480,204
10240,10,200.0000,600,194
10241,8,1540.0000,4620,2570
10241,9,840.0000,2520,1210
10241,10,520.0000,1560,836
10242,8,80.0000,240,143
10242,9,120.0000,360,169
10243,8,280.0000,840,357
10243,9,20.0000,60,12
10243,10,20.0000,60,30
10244,8,40.0000,120,93
10244,10,100.0000,300,65
10245,8,1340.0000,4020,2354
10245,9,1120.0000,3360,1744
10245,10,1040.0000,3120,1999
10246,9,1100.0000,3300,2279
10248,10,60.0000,180,74
1025,10,320.0000,960,854
10250,9,40.0000,120,76
10251,8,160.0000,480,342
10252,9,1080.0000,3240,1402
10252,10,1880.0000,5640,2397
10254,8,380.0000,1140,606
10254,9,100.0000,300,154
10254,10,160.0000,480,249
10255,8,80.0000,240,92
10255,10,40.0000,120,39
10256,9,40.0000,120,45
10256,10,140.0000,420,172
10258,8,940.0000,2820,1810
10258,9,840.0000,2520,1648
10258,10,960.0000,2880,1927
10259,8,1640.0000,4920,4500
10259,9,1000.0000,3000,2337
10259,10,860.0000,2580,2216
1026,8,880.0000,2640,2105
1026,9,40.0000,120,110
10260,8,680.0000,2040,1268
10260,9,560.0000,1680,777
10260,10,280.0000,840,389
10262,8,220.0000,660,381
10262,9,96.0000,420,246
10262,10,209.0000,660,125
10263,8,1780.0000,5340,4123
10263,9,1600.0000,4800,3423
10263,10,960.0000,2880,1693
10264,8,320.0000,960,643
10264,9,180.0000,540,354
10264,10,300.0000,900,484
10265,8,40.0000,120,96
10265,9,180.0000,540,443
10265,10,600.0000,1800,1645
10266,8,680.0000,2040,1689
10266,9,100.0000,300,257
10266,10,140.0000,420,345
10267,8,740.0000,2220,2052
10267,9,440.0000,1320,1104
10267,10,220.0000,660,596
10268,8,1420.0000,4260,3313
10268,9,1340.0000,4020,3292
10268,10,1300.0000,3900,2864
10269,8,80.0000,240,47
10269,9,120.0000,360,158
1027,9,80.0000,240,102
1027,10,200.0000,600,581
10270,8,1545.0000,4800,3824
10270,9,930.0000,3120,2496
10270,10,683.0000,2280,1788
10271,8,440.0000,1320,1265
10271,9,200.0000,600,466
10271,10,840.0000,2520,2200
10272,8,440.0000,1320,761
10272,9,1920.0000,5760,4641
10272,10,1360.0000,4080,2618
10273,8,400.0000,1200,860
10274,8,540.0000,1620,749
10274,9,620.0000,1860,1044
10274,10,480.0000,1440,918
10275,8,360.0000,1080,484
10275,9,100.0000,300,99
10275,10,280.0000,840,480
10276,8,500.0000,1500,1286
10276,9,400.0000,1200,809
10276,10,200.0000,600,458
10277,8,540.0000,1620,1139
10277,9,300.0000,900,617
10277,10,360.0000,1080,524
10278,8,960.0000,2880,1261
10278,9,660.0000,1980,1033
10278,10,1340.0000,4020,2246
10279,8,140.0000,420,140
10279,9,540.0000,1620,1068
10279,10,380.0000,1140,856
1028,8,220.0000,660,489
1028,9,100.0000,300,258
10281,8,420.0000,1260,1188
10281,9,20.0000,60,43
10281,10,80.0000,240,128
10282,8,1200.0000,3600,1668
10282,9,2100.0000,6300,3682
10282,10,2120.0000,6360,3931
10284,8,80.0000,240,86
10284,9,20.0000,60,15
10285,8,320.0000,960,824
10285,9,280.0000,840,649
10285,10,40.0000,120,79
10287,8,620.0000,1860,1157
10287,9,500.0000,1500,985
10287,10,380.0000,1140,483
10289,8,580.0000,1740,1099
10289,9,400.0000,1200,613
10289,10,200.0000,600,380
1029,8,100.0000,300,122
1029,9,420.0000,1260,552
1029,10,300.0000,900,456
10290,8,460.0000,1380,682
10290,9,140.0000,420,200
10290,10,920.0000,2760,1583
10291,9,60.0000,180,64
10291,10,2100.0000,6300,4068
10293,8,592.0000,2040,808
10293,9,773.0000,2880,1854
10293,10,632.0000,2160,1273
10294,8,40.0000,120,36
10294,9,40.0000,120,60
10296,8,220.0000,660,264
10297,8,7540.0000,22620,12788
10297,9,5720.0000,17160,10365
10297,10,3900.0000,11700,6268
10298,8,420.0000,1260,884
10298,9,280.0000,840,495
10298,10,300.0000,900,655
10299,8,180.0000,540,282
10299,9,20.0000,60,46
103,8,900.0000,2700,1107
103,9,320.0000,960,341
103,10,400.0000,1200,392
1030,10,20.0000,60,36
10300,8,160.0000,480,329
